Tissue	Assession
hippocampus	GSM1591597
hippocampus	GSM1835505
hippocampus	GSM1835496
hippocampus	GSM1835407
hippocampus	GSM1835497
hippocampus	GSM1835476
hippocampus	GSM1816937
hippocampus	GSM1835379
hippocampus	GSM1835447
hippocampus	GSM1366267
hippocampus	GSM1366262
hippocampus	GSM1835423
hippocampus	GSM1835524
hippocampus	GSM1835523
hippocampus	GSM1835411
hippocampus	GSM1835522
hippocampus	GSM1835374
hippocampus	GSM1835375
hippocampus	GSM1835413
hippocampus	GSM1835430
hippocampus	GSM1835504
hippocampus	GSM1816925
hippocampus	GSM1591596
hippocampus	GSM1366254
hippocampus	GSM1816924
hippocampus	GSM1835361
hippocampus	GSM1835527
hippocampus	GSM1835456
hippocampus	GSM1835494
hippocampus	GSM1835385
hippocampus	GSM2044671
hippocampus	GSM1835378
hippocampus	GSM1835367
hippocampus	GSM1835482
hippocampus	GSM1835511
hippocampus	GSM1835416
hippocampus	GSM1835489
hippocampus	GSM1835426
hippocampus	GSM1835433
hippocampus	GSM1468810
hippocampus	GSM1366268
hypothalamus	GSM1606031
hypothalamus	GSM1321332
hypothalamus	GSM1606033
hypothalamus	GSM1321327
hypothalamus	GSM1606023
hypothalamus	GSM1606036
hypothalamus	GSM1606024
hypothalamus	GSM1606027
hypothalamus	GSM1606029
hypothalamus	GSM1321328
hypothalamus	GSM1321331
hypothalamus	GSM1606032
hypothalamus	GSM1606030
hypothalamus	GSM1606034
hypothalamus	GSM1321330
hypothalamus	GSM1321329
hypothalamus	GSM1321333
hypothalamus	GSM1606022
hypothalamus	GSM1321326
hypothalamus	GSM1606026
hypothalamus	GSM1606025
hypothalamus	GSM1606028
hypothalamus	GSM1606035
hypothalamus	GSM1606021
hypothalamus	GSM1816945
hypothalamus	GSM1816948
hypothalamus	GSM1816957
hypothalamus	GSM1816958
hypothalamus	GSM1816950
hypothalamus	GSM1816942
hypothalamus	GSM1816955
hypothalamus	GSM1816944
hypothalamus	GSM1816956
hypothalamus	GSM1816941
hypothalamus	GSM1816954
hypothalamus	GSM1816949
hypothalamus	GSM1816953
hypothalamus	GSM1816946
hypothalamus	GSM1816947
hypothalamus	GSM1816951
hypothalamus	GSM1816952
hypothalamus	GSM1816943
hypothalamus	GSM2413354
hypothalamus	GSM2413342
hypothalamus	GSM2413343
hypothalamus	GSM2413341
hypothalamus	GSM2413347
hypothalamus	GSM2413344
hypothalamus	GSM2413348
hypothalamus	GSM2413349
hypothalamus	GSM2413351
hypothalamus	GSM2413350
hypothalamus	GSM2413353
hypothalamus	GSM2413352
midbrain	GSM1645650
midbrain	GSM1645636
midbrain	GSM1645662
midbrain	GSM2183461
midbrain	GSM1725912
midbrain	GSM1645642
midbrain	GSM1645664
midbrain	GSM1725915
midbrain	GSM1645651
midbrain	GSM1645659
midbrain	GSM1725904
midbrain	GSM1725911
midbrain	GSM1725914
midbrain	GSM1725906
midbrain	GSM1645646
midbrain	GSM1725910
midbrain	GSM1645632
midbrain	GSM1645654
midbrain	GSM2183462
midbrain	GSM2183450
midbrain	GSM1725902
midbrain	GSM1645635
midbrain	GSM1725905
midbrain	GSM1645634
midbrain	GSM1725908
midbrain	GSM1645656
midbrain	GSM1725898
midbrain	GSM1645643
midbrain	GSM1645645
midbrain	GSM1645648
midbrain	GSM1645630
midbrain	GSM1725899
midbrain	GSM1645647
midbrain	GSM1725916
midbrain	GSM1645633
midbrain	GSM1645649
midbrain	GSM1645658
midbrain	GSM1725913
midbrain	GSM1645638
midbrain	GSM1645663
midbrain	GSM1725909
midbrain	GSM1645657
midbrain	GSM1645637
midbrain	GSM1645655
midbrain	GSM1645652
midbrain	GSM1645660
midbrain	GSM1725900
midbrain	GSM1645640
midbrain	GSM2183463
midbrain	GSM2183451
midbrain	GSM1645644
midbrain	GSM1725907
midbrain	GSM2183449
midbrain	GSM1645661
midbrain	GSM1645631
midbrain	GSM1645653
midbrain	GSM1725903
midbrain	GSM1645639
midbrain	GSM1725901
midbrain	GSM2251520
midbrain	GSM2251521
neocortex	GSM1816960
neocortex	GSM1816964
neocortex	GSM1541957
neocortex	GSM1816975
neocortex	GSM1816974
neocortex	GSM1541955
neocortex	GSM1816966
neocortex	GSM1541956
neocortex	GSM1541950
neocortex	GSM1816969
neocortex	GSM1816970
neocortex	GSM1541952
neocortex	GSM1816972
neocortex	GSM1816963
neocortex	GSM1816962
neocortex	GSM1541951
neocortex	GSM1541954
neocortex	GSM1816967
neocortex	GSM1541953
neocortex	GSM1816971
neocortex	GSM1816976
neocortex	GSM1816959
neocortex	GSM1816968
neocortex	GSM1816961
neocortex	GSM1816973
neocortex	GSM1816965
nucleusaccumbens	GSM1860544
nucleusaccumbens	GSM1860634
nucleusaccumbens	GSM1860587
nucleusaccumbens	GSM1860593
nucleusaccumbens	GSM1860594
nucleusaccumbens	GSM1860588
nucleusaccumbens	GSM1860540
nucleusaccumbens	GSM1860637
nucleusaccumbens	GSM1860547
nucleusaccumbens	GSM1860635
nucleusaccumbens	GSM1860591
nucleusaccumbens	GSM1860592
nucleusaccumbens	GSM1860638
nucleusaccumbens	GSM1860541
nucleusaccumbens	GSM1860548
nucleusaccumbens	GSM1860589
nucleusaccumbens	GSM1860632
nucleusaccumbens	GSM1860543
nucleusaccumbens	GSM1860636
nucleusaccumbens	GSM1860598
nucleusaccumbens	GSM1860546
nucleusaccumbens	GSM1860550
nucleusaccumbens	GSM1860640
nucleusaccumbens	GSM1860542
nucleusaccumbens	GSM1860545
nucleusaccumbens	GSM1860549
nucleusaccumbens	GSM1860596
nucleusaccumbens	GSM1860595
nucleusaccumbens	GSM1860597
nucleusaccumbens	GSM1860633
nucleusaccumbens	GSM1860639
nucleusaccumbens	GSM1860590
nucleusaccumbens	GSM1860551
occipitalcortex	GSM1540430
occipitalcortex	GSM1540432
occipitalcortex	GSM1540460
occipitalcortex	GSM1540414
occipitalcortex	GSM1540439
occipitalcortex	GSM1540433
occipitalcortex	GSM1540413
occipitalcortex	GSM1540444
occipitalcortex	GSM1540448
occipitalcortex	GSM1540415
occipitalcortex	GSM1540442
occipitalcortex	GSM1540427
occipitalcortex	GSM1540440
occipitalcortex	GSM1540441
occipitalcortex	GSM1540425
occipitalcortex	GSM1540416
occipitalcortex	GSM1540429
occipitalcortex	GSM1540426
occipitalcortex	GSM1540435
occipitalcortex	GSM1540431
occipitalcortex	GSM1540452
occipitalcortex	GSM1540437
occipitalcortex	GSM1540436
occipitalcortex	GSM1540456
occipitalcortex	GSM1540434
occipitalcortex	GSM1540443
occipitalcortex	GSM1540438
occipitalcortex	GSM1540428
olfactoryepithelium	GSM1300902
olfactoryepithelium	GSM1384983
olfactoryepithelium	GSM1384982
olfactoryepithelium	GSM1954593
olfactoryepithelium	GSM1954574
olfactoryepithelium	GSM1954595
olfactoryepithelium	GSM1954620
olfactoryepithelium	GSM1954565
olfactoryepithelium	GSM1954572
olfactoryepithelium	GSM1954573
olfactoryepithelium	GSM1954633
olfactoryepithelium	GSM1954596
olfactoryepithelium	GSM1954587
olfactoryepithelium	GSM1954603
olfactoryepithelium	GSM1954612
olfactoryepithelium	GSM1954606
olfactoryepithelium	GSM1954592
olfactoryepithelium	GSM1954579
olfactoryepithelium	GSM1954576
olfactoryepithelium	GSM1954598
olfactoryepithelium	GSM1954618
olfactoryepithelium	GSM1954590
olfactoryepithelium	GSM1954580
olfactoryepithelium	GSM1954546
olfactoryepithelium	GSM1954614
olfactoryepithelium	GSM1954578
olfactoryepithelium	GSM1954617
olfactoryepithelium	GSM1954594
olfactoryepithelium	GSM1954581
olfactoryepithelium	GSM1954622
olfactoryepithelium	GSM1954561
olfactoryepithelium	GSM1954557
olfactoryepithelium	GSM1954619
olfactoryepithelium	GSM1954638
olfactoryepithelium	GSM1954582
olfactoryepithelium	GSM1954586
olfactoryepithelium	GSM1954584
olfactoryepithelium	GSM1954611
olfactoryepithelium	GSM1954560
olfactoryepithelium	GSM1954583
olfactoryepithelium	GSM1954615
olfactoryepithelium	GSM1954562
olfactoryepithelium	GSM1954630
olfactoryepithelium	GSM1954631
olfactoryepithelium	GSM1954577
olfactoryepithelium	GSM1954605
olfactoryepithelium	GSM1954571
olfactoryepithelium	GSM1954589
olfactoryepithelium	GSM1954570
olfactoryepithelium	GSM1954629
olfactoryepithelium	GSM1954553
olfactoryepithelium	GSM1954550
olfactoryepithelium	GSM1954558
olfactoryepithelium	GSM1954597
olfactoryepithelium	GSM1954548
olfactoryepithelium	GSM1954623
olfactoryepithelium	GSM1954610
olfactoryepithelium	GSM1954563
olfactoryepithelium	GSM1954568
olfactoryepithelium	GSM1954602
olfactoryepithelium	GSM1954616
olfactoryepithelium	GSM1954569
olfactoryepithelium	GSM1954549
olfactoryepithelium	GSM1954559
olfactoryepithelium	GSM1954547
olfactoryepithelium	GSM1954607
olfactoryepithelium	GSM1954628
olfactoryepithelium	GSM1954621
olfactoryepithelium	GSM1954632
olfactoryepithelium	GSM1954626
olfactoryepithelium	GSM1954567
olfactoryepithelium	GSM1954613
olfactoryepithelium	GSM1954554
olfactoryepithelium	GSM1954555
olfactoryepithelium	GSM1954552
olfactoryepithelium	GSM1954624
olfactoryepithelium	GSM1954634
olfactoryepithelium	GSM1954585
olfactoryepithelium	GSM1954609
olfactoryepithelium	GSM1954636
olfactoryepithelium	GSM1954635
olfactoryepithelium	GSM1954566
olfactoryepithelium	GSM1954551
olfactoryepithelium	GSM1954591
olfactoryepithelium	GSM1954575
olfactoryepithelium	GSM1954564
olfactoryepithelium	GSM1954625
olfactoryepithelium	GSM1954599
olfactoryepithelium	GSM1954601
olfactoryepithelium	GSM1954604
olfactoryepithelium	GSM1954608
olfactoryepithelium	GSM1954600
olfactoryepithelium	GSM1954637
olfactoryepithelium	GSM1954588
olfactoryepithelium	GSM1954556
olfactoryepithelium	GSM1954627
pons	GSM1271939
pons	GSM1613820
pons	GSM1271988
pons	GSM1272033
pons	GSM1271958
pons	GSM1271917
pons	GSM1271922
pons	GSM1271889
pons	GSM1271899
pons	GSM1271913
pons	GSM1271883
pons	GSM1271928
pons	GSM1271948
pons	GSM1271954
pons	GSM1271953
pons	GSM1271890
pons	GSM1271955
pons	GSM1271925
pons	GSM1272884
pons	GSM1271964
pons	GSM1271977
pons	GSM1271942
pons	GSM1271972
pons	GSM1271971
pons	GSM1272885
pons	GSM1271904
pons	GSM1271951
pons	GSM1271957
pons	GSM1272889
pons	GSM1272882
pons	GSM1271950
pons	GSM1271895
pons	GSM1271956
pons	GSM1613818
pons	GSM1271877
pons	GSM1272881
pons	GSM1271965
pons	GSM1271919
pons	GSM1271944
pons	GSM1272892
pons	GSM1271905
pons	GSM1271976
pons	GSM1271949
pons	GSM1272888
pons	GSM1272007
pons	GSM1271960
pons	GSM1271888
pons	GSM1271863
pons	GSM1271966
pons	GSM1272883
pons	GSM1271862
pons	GSM1271980
pons	GSM1271885
pons	GSM1271886
pons	GSM1271876
pons	GSM1271893
pons	GSM1271881
pons	GSM1271875
pons	GSM1271887
pons	GSM1271870
pons	GSM1272890
pons	GSM1271969
pons	GSM1271912
pons	GSM1271923
pons	GSM1271872
pons	GSM1271961
pons	GSM1271989
pons	GSM1271973
pons	GSM1272894
pons	GSM1271891
pons	GSM1271974
pons	GSM1271986
pons	GSM1272886
pons	GSM1613817
pons	GSM1271868
pons	GSM1613819
pons	GSM1271981
pons	GSM1271878
pons	GSM1271864
pons	GSM1271869
pons	GSM1272898
pons	GSM1271880
pons	GSM1271962
pons	GSM1271910
pons	GSM1271930
pons	GSM1271978
pons	GSM1272018
pons	GSM1271866
pons	GSM1272887
pons	GSM1271936
pons	GSM1271871
pons	GSM1271900
pons	GSM1271894
pons	GSM1271920
pons	GSM1272899
pons	GSM1271929
pons	GSM1271982
pons	GSM1271924
pons	GSM1271984
pons	GSM1271873
pons	GSM1271898
pons	GSM1271897
pons	GSM1271916
pons	GSM1271874
pons	GSM1271959
pons	GSM1271937
pons	GSM1271935
pons	GSM1271945
pons	GSM1271941
pons	GSM1271865
pons	GSM1271933
pons	GSM1271968
pons	GSM1272896
pons	GSM1271946
pons	GSM1271927
pons	GSM1271967
pons	GSM1271934
pons	GSM1271991
pons	GSM1271892
pons	GSM1271938
pons	GSM1271963
pons	GSM1613821
pons	GSM1271947
pons	GSM1272891
pons	GSM1271879
pons	GSM1271975
pons	GSM1271908
pons	GSM1272897
pons	GSM1271906
pons	GSM1271896
pons	GSM1272893
pons	GSM1271931
pons	GSM1271940
pons	GSM1271903
pons	GSM1271943
pons	GSM1271970
pons	GSM1271983
pons	GSM1272880
pons	GSM1272895
pons	GSM1272900
pons	GSM1271884
pons	GSM1271867
pons	GSM1271952
pons	GSM1271902
pons	GSM1271909
pons	GSM1271907
pons	GSM1271926
pons	GSM1271921
pons	GSM1271911
pons	GSM1271915
pons	GSM1271932
pons	GSM1271979
pons	GSM1271914
pons	GSM1271901
pons	GSM1271985
pons	GSM1831892
pons	GSM1831891
pons	GSM1831889
pons	GSM1831890
striatum	GSM2070986
striatum	GSM1605855
striatum	GSM1605784
striatum	GSM1923389
striatum	GSM1605826
striatum	GSM1605886
striatum	GSM1605792
striatum	GSM2071014
striatum	GSM1605837
striatum	GSM1605824
striatum	GSM1605725
striatum	GSM2071018
striatum	GSM2071016
striatum	GSM1605747
striatum	GSM1605776
striatum	GSM2071041
striatum	GSM2071032
striatum	GSM2071023
striatum	GSM2071024
striatum	GSM2071036
striatum	GSM1684685
striatum	GSM1605861
striatum	GSM1605916
striatum	GSM1605812
striatum	GSM1486083
striatum	GSM1605922
striatum	GSM2071029
striatum	GSM1605829
striatum	GSM1605808
striatum	GSM2070977
striatum	GSM2070953
striatum	GSM2071003
striatum	GSM1923393
striatum	GSM1605888
striatum	GSM2070994
striatum	GSM2070968
striatum	GSM1923394
striatum	GSM1605898
striatum	GSM2070973
striatum	GSM1605875
striatum	GSM1605775
striatum	GSM1532299
striatum	GSM1605813
striatum	GSM1605889
striatum	GSM1605868
striatum	GSM1605744
striatum	GSM1605814
striatum	GSM1605752
striatum	GSM1605763
striatum	GSM1605884
striatum	GSM1486089
striatum	GSM2071020
striatum	GSM1605897
striatum	GSM1605900
striatum	GSM2070960
striatum	GSM1605833
striatum	GSM1605723
striatum	GSM1605913
striatum	GSM1605781
striatum	GSM1605867
striatum	GSM1605786
striatum	GSM1605780
striatum	GSM1605918
striatum	GSM1605844
striatum	GSM1605863
striatum	GSM2071030
striatum	GSM2070975
striatum	GSM1605807
striatum	GSM1605877
striatum	GSM1486085
striatum	GSM1605783
striatum	GSM1605785
striatum	GSM1605815
striatum	GSM1605728
striatum	GSM1605883
striatum	GSM2070972
striatum	GSM2071019
striatum	GSM2071007
striatum	GSM1532301
striatum	GSM1605841
striatum	GSM1532306
striatum	GSM1684686
striatum	GSM1605762
striatum	GSM1605766
striatum	GSM1923390
striatum	GSM1605724
striatum	GSM1605743
striatum	GSM1605838
striatum	GSM1605904
striatum	GSM1605892
striatum	GSM1605852
striatum	GSM2070958
striatum	GSM2070991
striatum	GSM1605810
striatum	GSM1605790
striatum	GSM1605788
striatum	GSM1605836
striatum	GSM1605805
striatum	GSM1605832
striatum	GSM1605827
striatum	GSM1605726
striatum	GSM2071002
striatum	GSM1605899
striatum	GSM1605739
striatum	GSM1605880
striatum	GSM1605879
striatum	GSM1605835
striatum	GSM1605887
striatum	GSM1532304
striatum	GSM1605917
striatum	GSM1605749
striatum	GSM2071027
striatum	GSM1605771
striatum	GSM1605741
striatum	GSM2070969
striatum	GSM1605803
striatum	GSM1605727
striatum	GSM1486088
striatum	GSM1605758
striatum	GSM1605902
striatum	GSM1605742
striatum	GSM1605774
striatum	GSM1605881
striatum	GSM1605738
striatum	GSM1605750
striatum	GSM2070966
striatum	GSM1605925
striatum	GSM1605856
striatum	GSM1486082
striatum	GSM2071037
striatum	GSM2070965
striatum	GSM1605718
striatum	GSM1605811
striatum	GSM2070979
striatum	GSM2071009
striatum	GSM1605794
striatum	GSM2071010
striatum	GSM1684684
striatum	GSM1486090
striatum	GSM1605849
striatum	GSM1605759
striatum	GSM1605911
striatum	GSM2070952
striatum	GSM2070992
striatum	GSM2071039
striatum	GSM1605901
striatum	GSM1605872
striatum	GSM1605769
striatum	GSM1605730
striatum	GSM1605802
striatum	GSM2070956
striatum	GSM1605796
striatum	GSM1605737
striatum	GSM1684683
striatum	GSM1923392
striatum	GSM2071040
striatum	GSM1605768
striatum	GSM2070998
striatum	GSM2070985
striatum	GSM1684687
striatum	GSM2070995
striatum	GSM1486092
striatum	GSM1605896
striatum	GSM1605816
striatum	GSM1605865
striatum	GSM2070987
striatum	GSM2070989
striatum	GSM2071025
striatum	GSM2070962
striatum	GSM1605882
striatum	GSM1605890
striatum	GSM2071015
striatum	GSM1605799
striatum	GSM1605870
striatum	GSM1605910
striatum	GSM2071028
striatum	GSM1486084
striatum	GSM1605923
striatum	GSM2071031
striatum	GSM1605859
striatum	GSM1605800
striatum	GSM2070971
striatum	GSM2071005
striatum	GSM1605831
striatum	GSM2070984
striatum	GSM1605806
striatum	GSM1605871
striatum	GSM1605869
striatum	GSM2071035
striatum	GSM1605764
striatum	GSM2071038
striatum	GSM2070978
striatum	GSM1605732
striatum	GSM1605876
striatum	GSM1605920
striatum	GSM1605720
striatum	GSM2070990
striatum	GSM2070997
striatum	GSM1605787
striatum	GSM1605795
striatum	GSM1605809
striatum	GSM1605894
striatum	GSM2070959
striatum	GSM1605864
striatum	GSM1605878
striatum	GSM1605746
striatum	GSM1605778
striatum	GSM1605761
striatum	GSM1605748
striatum	GSM1605823
striatum	GSM1605862
striatum	GSM2070957
striatum	GSM2071022
striatum	GSM1605782
striatum	GSM1605834
striatum	GSM2071011
striatum	GSM2070954
striatum	GSM2071000
striatum	GSM1605893
striatum	GSM2070970
striatum	GSM1605797
striatum	GSM1605734
striatum	GSM1532303
striatum	GSM1605779
striatum	GSM1605839
striatum	GSM1605818
striatum	GSM1605772
striatum	GSM2070983
striatum	GSM1605845
striatum	GSM1605851
striatum	GSM1605822
striatum	GSM1605729
striatum	GSM2071012
striatum	GSM2070967
striatum	GSM1486091
striatum	GSM2070996
striatum	GSM1605821
striatum	GSM1605842
striatum	GSM1605721
striatum	GSM1605755
striatum	GSM1605735
striatum	GSM1605885
striatum	GSM2071004
striatum	GSM2071001
striatum	GSM2071042
striatum	GSM2071008
striatum	GSM1605919
striatum	GSM1605767
striatum	GSM1605770
striatum	GSM1532305
striatum	GSM2070951
striatum	GSM2070980
striatum	GSM1605850
striatum	GSM2071006
striatum	GSM1605819
striatum	GSM1605817
striatum	GSM1605740
striatum	GSM2070949
striatum	GSM1605753
striatum	GSM1605765
striatum	GSM1605921
striatum	GSM1605860
striatum	GSM1605873
striatum	GSM1605757
striatum	GSM2070964
striatum	GSM1605905
striatum	GSM1605745
striatum	GSM1605760
striatum	GSM2070993
striatum	GSM1605908
striatum	GSM1605848
striatum	GSM1605825
striatum	GSM1605903
striatum	GSM1605853
striatum	GSM2070961
striatum	GSM2071026
striatum	GSM2070999
striatum	GSM1605915
striatum	GSM2070982
striatum	GSM1605891
striatum	GSM2071021
striatum	GSM2070963
striatum	GSM1923391
striatum	GSM1605777
striatum	GSM1605924
striatum	GSM2071043
striatum	GSM1605793
striatum	GSM1486086
striatum	GSM2070976
striatum	GSM1605866
striatum	GSM2071013
striatum	GSM1605731
striatum	GSM1605719
striatum	GSM1605858
striatum	GSM1605895
striatum	GSM1605751
striatum	GSM1605754
striatum	GSM1605756
striatum	GSM1605846
striatum	GSM1605909
striatum	GSM1605773
striatum	GSM1486087
striatum	GSM1605906
striatum	GSM1605857
striatum	GSM2070950
striatum	GSM1605791
striatum	GSM2070981
striatum	GSM1605828
striatum	GSM1605843
striatum	GSM1605733
striatum	GSM1486081
striatum	GSM1605830
striatum	GSM1605907
striatum	GSM1605914
striatum	GSM1605801
striatum	GSM1605854
striatum	GSM1605874
striatum	GSM2071033
striatum	GSM2071034
striatum	GSM2071017
striatum	GSM1605820
striatum	GSM1605804
striatum	GSM2070974
striatum	GSM1605789
striatum	GSM1532302
striatum	GSM2070955
striatum	GSM2070948
striatum	GSM1605798
striatum	GSM1605847
striatum	GSM2070988
striatum	GSM1605840
striatum	GSM1605912
striatum	GSM1605722
striatum	GSM1605736
striatum	GSM1532300
striatum	GSM1572071
striatum	GSM1572070
striatum	GSM1572072
striatum	GSM1572062
striatum	GSM1572063
striatum	GSM1572061
striatum	GSM1572066
striatum	GSM1572067
striatum	GSM1572064
striatum	GSM1572065
striatum	GSM1572068
striatum	GSM1572069
thalamus	GSM1606031
thalamus	GSM1321332
thalamus	GSM1606033
thalamus	GSM1321327
thalamus	GSM1606023
thalamus	GSM1606036
thalamus	GSM1606024
thalamus	GSM1606027
thalamus	GSM1606029
thalamus	GSM1321328
thalamus	GSM1321331
thalamus	GSM1606032
thalamus	GSM1606030
thalamus	GSM1606034
thalamus	GSM1321330
thalamus	GSM1321329
thalamus	GSM1321333
thalamus	GSM1606022
thalamus	GSM1321326
thalamus	GSM1606026
thalamus	GSM1606025
thalamus	GSM1606028
thalamus	GSM1606035
thalamus	GSM1606021
thalamus	GSM1816945
thalamus	GSM1816948
thalamus	GSM1816957
thalamus	GSM1816958
thalamus	GSM1816950
thalamus	GSM1816942
thalamus	GSM1816955
thalamus	GSM1816944
thalamus	GSM1816956
thalamus	GSM1816941
thalamus	GSM1816954
thalamus	GSM1816949
thalamus	GSM1816953
thalamus	GSM1816946
thalamus	GSM1816947
thalamus	GSM1816951
thalamus	GSM1816952
thalamus	GSM1816943
thalamus	GSM2413354
thalamus	GSM2413342
thalamus	GSM2413343
thalamus	GSM2413341
thalamus	GSM2413347
thalamus	GSM2413344
thalamus	GSM2413348
thalamus	GSM2413349
thalamus	GSM2413351
thalamus	GSM2413350
thalamus	GSM2413353
thalamus	GSM2413352
