Color	Gene	Number
darkolivegreen	Cstf3	33
turquoise	Cstl1	1
blue	Ctag2	2
turquoise	Ctage5	1
red	Ctbp1	6
lightcyan	Ctbp2	16
royalblue	Ctbs	20
darkgreen	Ctc1	22
blue	Ctcf	2
turquoise	Ctcflos	1
darkmagenta	Ctdnep1	34
yellow	Ctdp1	4
purple	Ctdsp1	10
red	Ctdsp2	6
lightcyan	Ctdspl	16
red	Ctdspl2	6
blue	Ctf1	2
salmon	Ctf2	13
salmon	Ctgf	13
blue	Cth	2
brown	Cthrc1	3
blue	Ctif	2
lightcyan	Ctla2a	16
turquoise	Ctla4	1
pink	Ctnna1	8
blue	Ctnna2	2
blue	Ctnna3	2
turquoise	Ctnnal1	1
pink	Ctnnb1	8
yellow	Ctnnbip1	4
white	Ctnnbl1	27
red	Ctnnd1	6
black	Ctnnd2	7
blue	Ctns	2
salmon	Ctps	13
green	Ctps2	5
green	Ctr9	5
royalblue	Ctrb1	20
turquoise	Ctrc	1
salmon	Ctrl	13
blue	Cts3	2
turquoise	Cts7	1
yellow	Cts8	4
pink	Ctsa	8
black	Ctsb	7
magenta	Ctsc	9
blue	Ctsd	2
magenta	Ctse	9
green	Ctsf	5
magenta	Ctsg	9
turquoise	Ctsh	1
tan	Ctsj	12
purple	Ctsk	10
red	Ctsl	6
turquoise	Ctsll3	1
pink	Ctso	8
brown	Ctsq	3
blue	Ctsr	2
salmon	Ctss	13
turquoise	Ctsw	1
turquoise	Ctsz	1
brown	Cttn	3
pink	Cttnbp2	8
blue	Cttnbp2nl	2
black	Ctu1	7
cyan	Ctxn1	14
purple	Ctxn2	10
brown	Cubn	3
blue	Cuedc1	2
black	Cuedc2	7
blue	Cul1	2
green	Cul2	5
cyan	Cul3	14
blue	Cul4a	2
black	Cul4b	7
yellow	Cul5	4
tan	Cul7	12
yellow	Cul9	4
midnightblue	Cuta	15
black	Cutal	7
yellow	Cutc	4
steelblue	Cux1	30
pink	Cux2	8
turquoise	Cuzd1	1
tan	Cwc15	12
black	Cwc22	7
green	Cwc25	5
blue	Cwc27	2
royalblue	Cwf19l1	20
turquoise	Cwf19l2	1
lightcyan	Cwh43	16
green	Cx3cl1	5
green	Cxadr	5
brown	Cxcl1	3
brown	Cxcl10	3
yellow	Cxcl11	4
salmon	Cxcl12	13
turquoise	Cxcl13	1
blue	Cxcl14	2
blue	Cxcl15	2
black	Cxcl16	7
turquoise	Cxcl17	1
purple	Cxcl2	10
turquoise	Cxcl3	1
turquoise	Cxcl5	1
greenyellow	Cxcl9	11
midnightblue	Cxcr1	15
lightcyan	Cxcr2	16
greenyellow	Cxcr3	11
tan	Cxcr4	12
tan	Cxcr5	12
yellow	Cxcr6	4
pink	Cxx1a	8
red	Cxx1c	6
blue	Cxxc1	2
blue	Cxxc4	2
saddlebrown	Cxxc5	29
pink	Cyb561	8
midnightblue	Cyb561a3	15
blue	Cyb561d1	2
turquoise	Cyb561d2	1
blue	Cyb5a	2
red	Cyb5b	6
turquoise	Cyb5d1	1
skyblue	Cyb5d2	28
grey60	Cyb5r1	17
turquoise	Cyb5r2	1
green	Cyb5r3	5
greenyellow	Cyb5r4	11
turquoise	Cyb5rl	1
cyan	Cyba	14
yellow	Cybb	4
magenta	Cybrd1	9
blue	Cyc1	2
red	Cycs	6
pink	Cyct	8
turquoise	Cyfip1	1
green	Cyfip2	5
green	Cygb	5
grey60	Cyhr1	17
brown	Cylc1	3
purple	Cyld	10
salmon	Cyp11a1	13
yellow	Cyp17a1	4
brown	Cyp19a1	3
steelblue	Cyp1a1	30
tan	Cyp1a2	12
turquoise	Cyp1b1	1
tan	Cyp20a1	12
yellow	Cyp21a1	4
turquoise	Cyp24a1	1
brown	Cyp26a1	3
salmon	Cyp27a1	13
blue	Cyp27b1	2
magenta	Cyp2a12	9
