Color	Gene	Number
turquoise	A130028J20Rik	1
yellow	A130029G22Rik	4
turquoise	A130030D18Rik	1
turquoise	A130034H22Rik	1
green	A130050O07Rik	5
greenyellow	A130084B18Rik	11
darkgrey	A130088B03Rik	24
brown	A130095K04Rik	3
pink	A1bg	8
midnightblue	A1cf	15
brown	A230004C22Rik	3
turquoise	A230004M16Rik	1
blue	A230006K03Rik	2
turquoise	A230010G09Rik	1
turquoise	A230028O05Rik	1
brown	A230032E15Rik	3
pink	A230034C19Rik	8
turquoise	A230035D19Rik	1
tan	A230044A09Rik	12
turquoise	A230046K03Rik	1
lightcyan	A230050P20Rik	16
midnightblue	A230052G05Rik	15
blue	A230057D06Rik	2
purple	A230059C12Rik	10
turquoise	A230059G12Rik	1
turquoise	A230065C20Rik	1
turquoise	A230065H16Rik	1
brown	A230066D03Rik	3
lightyellow	A230069K02Rik	19
turquoise	A230072I06Rik	1
turquoise	A230074B11Rik	1
yellow	A230081H15Rik	4
yellow	A230083A21Rik	4
turquoise	A230083G16Rik	1
white	A230085B16Rik	27
turquoise	A230096H11Rik	1
blue	A230097P14Rik	2
pink	A2m	8
brown	A330004N04Rik	3
purple	A330008L17Rik	10
magenta	A330009N23Rik	9
blue	A330017A19Rik	2
turquoise	A330019P12Rik	1
turquoise	A330035P11Rik	1
turquoise	A330041J22Rik	1
yellow	A330041K01	4
blue	A330043C09Rik	2
greenyellow	A330043P19Rik	11
saddlebrown	A330044P14Rik	29
turquoise	A330053M17Rik	1
blue	A330069K06Rik	2
greenyellow	A330070K13Rik	11
blue	A330074K22Rik	2
yellow	A330079A07Rik	4
turquoise	A330087I24	1
brown	A330089M16Rik	3
royalblue	A330099J10Rik	20
brown	A3galt2	3
turquoise	A430002G09Rik	1
yellow	A430005L14Rik	4
turquoise	A430010J10Rik	1
yellow	A430033K04Rik	4
brown	A430035B10Rik	3
turquoise	A430048G15Rik	1
turquoise	A430057M04Rik	1
turquoise	A430057O09	1
purple	A430072C10Rik	10
turquoise	A430078G23Rik	1
brown	A430079D01Rik	3
turquoise	A430080K08Rik	1
brown	A430086B14Rik	3
yellow	A430089I19Rik	4
red	A430090L17Rik	6
turquoise	A430092C21Rik	1
tan	A430093F15Rik	12
cyan	A430105I19Rik	14
turquoise	A430108G06Rik	1
turquoise	A4galt	1
turquoise	A4gnt	1
turquoise	A530006G24Rik	1
purple	A530010F05Rik	10
turquoise	A530010L16Rik	1
blue	A530013C23Rik	2
darkgreen	A530016L24Rik	22
purple	A530020G20Rik	10
turquoise	A530021J07Rik	1
turquoise	A530026G17	1
turquoise	A530030B07Rik	1
turquoise	A530032D15Rik	1
turquoise	A530046M15Rik	1
tan	A530053G22Rik	12
greenyellow	A530053M12Rik	11
