Color	Gene	Number
black	E430033C13Rik	7
turquoise	E430033K04Rik	1
plum1	E4f1	38
yellowgreen	E530001K10Rik	36
darkred	Eaf1	21
blue	Eaf2	2
lightpink4	Eapp	56
lightcyan	Ear14	16
brown	Ear6	3
paleturquoise	Ears2	31
plum	Ebag9	67
green	Ebf1	5
purple	Ebf2	10
sienna3	Ebf3	35
grey60	Ebf4	17
darkslateblue	Ebi3	48
darkmagenta	Ebna1bp2	34
paleturquoise	Ebp	31
magenta4	Ebpl	84
navajowhite2	Ecd	54
blue	Ece1	2
plum2	Ece2	49
black	Ecel1	7
antiquewhite4	Ech1	61
maroon	Echdc1	55
tan	Echdc2	12
lightpink3	Echdc3	85
orange	Echs1	25
plum	Eci1	67
greenyellow	Eci2	11
pink	Eci3	8
blue	Ecm1	2
purple	Ecm2	10
darkslateblue	Ecscr	48
lightyellow	Ecsit	19
green	Ect2	5
violet	Eda	32
steelblue	Eda2r	30
coral2	Edar	62
magenta	Edaradd	9
lightyellow	Edc4	19
lightcyan1	Eddm3b	42
blue	Edem1	2
lightsteelblue1	Edem2	41
black	Edem3	7
darkgrey	Edf1	24
turquoise	Edil3	1
brown	Edn1	3
ivory	Edn2	43
steelblue	Edn3	30
steelblue	Ednra	30
greenyellow	Ednrb	11
antiquewhite4	Edrf1	61
navajowhite	Eea1	112
mediumorchid	Eed	63
violet	Eef1a1	32
lightsteelblue	Eef1a2	70
lightyellow	Eef1b2	19
palevioletred1	Eef1d	111
skyblue2	Eef1e1	64
lightyellow	Eef1g	19
orange	Eef2	25
pink	Eef2kmt	8
magenta	Eefsec	9
coral1	Eepd1	60
green	Efcab1	5
lightgreen	Efcab10	18
brown	Efcab11	3
magenta	Efcab12	9
tan	Efcab14	12
mediumorchid	Efcab2	63
black	Efcab3	7
skyblue1	Efcab5	66
thistle1	Efcab6	51
mediumpurple3	Efcab7	40
bisque4	Efcab8	47
darkred	Efcab9	21
blue2	Efcc1	76
plum1	Efemp1	38
tan	Efemp2	12
darkorange2	Efhb	45
brown	Efhc1	3
plum	Efhc2	67
indianred3	Efhd1	101
plum1	Efhd2	38
coral2	Efna1	62
antiquewhite4	Efna2	61
red	Efna3	6
blue	Efna4	2
skyblue1	Efna5	66
thistle1	Efnb1	51
green	Efnb2	5
green	Efnb3	5
lightgreen	Efr3a	18
brown	Efs	3
blue	Eftud1	2
orangered4	Eftud2	39
navajowhite2	EG433662	54
violet	Egf	32
coral2	Egfem1	62
skyblue3	Egfl6	37
brown	Egfl7	3
orange	Egfl8	25
pink	Egflam	8
navajowhite1	Egfr	83
honeydew1	Egln1	58
darkturquoise	Egln2	23
brown	Egln3	3
grey60	Egr1	17
purple	Egr2	10
black	Egr3	7
chocolate4	Egr4	118
white	Ehbp1	27
tan	Ehbp1l1	12
blue	Ehd1	2
yellow	Ehd2	4
yellow	Ehd3	4
darkolivegreen4	Ehd4	74
salmon	Ehf	13
turquoise	Ehhadh	1
navajowhite2	Ehmt1	54
purple	Ehmt2	10
red	Ei24	6
blue	Eid1	2
green	Eid2	5
thistle	Eid2b	80
pink	Eid3	8
yellow4	Eif1	65
darkgreen	Eif1a	22
orange	Eif1ad	25
darkorange	Eif1ax	26
green	Eif1b	5
magenta	Eif2a	9
mediumpurple2	Eif2ak1	69
yellow	Eif2ak2	4
orangered4	Eif2ak3	39
orangered4	Eif2ak4	39
darkseagreen4	Eif2b1	59
blue	Eif2b2	2
antiquewhite4	Eif2b3	61
steelblue	Eif2b4	30
tan	Eif2b5	12
green	Eif2d	5
lightyellow	Eif2s1	19
green	Eif2s2	5
blue	Eif2s3x	2
purple	Eif2s3y	10
thistle2	Eif3a	50
steelblue	Eif3b	30
thistle2	Eif3c	50
tan	Eif3d	12
plum1	Eif3e	38
yellow	Eif3f	4
salmon	Eif3g	13
darkolivegreen	Eif3h	33
skyblue1	Eif3i	66
sienna3	Eif3j1	35
turquoise	Eif3k	1
salmon	Eif3l	13
greenyellow	Eif3m	11
orangered4	Eif4a1	39
plum2	Eif4a2	49
green	Eif4a3	5
mediumorchid	Eif4b	63
deeppink	Eif4e	106
darkseagreen4	Eif4e2	59
lightpink4	Eif4e3	56
brown	Eif4ebp1	3
orange	Eif4ebp2	25
black	Eif4ebp3	7
lightcyan1	Eif4enif1	42
lightsteelblue	Eif4g1	70
darkorange	Eif4g2	26
tan	Eif4g3	12
yellow4	Eif4h	65
tan	Eif5	12
grey60	Eif5a	17
red	Eif5a2	6
blue	Eif5b	2
darkturquoise	Eif6	23
blue	Elac1	2
paleturquoise	Elac2	31
darkslateblue	Elavl1	48
darkseagreen4	Elavl2	59
salmon	Elavl3	13
floralwhite	Eldr	44
pink	Elf1	8
greenyellow	Elf2	11
honeydew	Elf3	87
lightcoral	Elf4	71
darkmagenta	Elf5	34
midnightblue	Elfn1	15
turquoise	Elfn2	1
orangered4	Elk1	39
mediumpurple1	Elk3	98
indianred4	Elk4	72
ivory	Ell	43
darkviolet	Ell2	77
lightpink3	Ell3	85
orangered3	Elmo1	68
red	Elmo2	6
lightcoral	Elmo3	71
lightgreen	Elmod1	18
turquoise	Elmod2	1
mediumpurple3	Elmod3	40
lavenderblush3	Elmsan1	57
turquoise	Eln	1
darkgrey	Elof1	24
brown	Elovl1	3
brown	Elovl2	3
blue	Elovl3	2
magenta3	Elovl4	113
tan	Elovl5	12
thistle	Elovl6	80
darkorange2	Elovl7	45
greenyellow	Elp2	11
lightgreen	Elp3	18
turquoise	Elp4	1
orange	Elp5	25
grey60	Elp6	17
yellow4	Eltd1	65
saddlebrown	Emb	29
green	Emc1	5
turquoise	Emc10	1
green	Emc2	5
coral1	Emc3	60
salmon2	Emc4	81
skyblue	Emc6	28
brown	Emc7	3
tan	Emc8	12
lavenderblush3	Emc9	57
deeppink	Emcn	106
red	Emd	6
sienna3	Eme1	35
firebrick4	Emg1	73
darkseagreen4	Emid1	59
darkgrey	Emilin1	24
lightpink2	Emilin2	114
darkred	Emilin3	21
yellow	Eml1	4
salmon	Eml2	13
salmon	Eml3	13
white	Eml4	27
lightsteelblue	Eml5	70
magenta	Eml6	9
blue	Emp1	2
darkseagreen4	Emp2	59
yellowgreen	Emp3	36
tan	Emr1	12
maroon	Emr4	55
coral3	Emx1	91
cyan	Emx2	14
salmon2	En1	81
turquoise	En2	1
blue	Enah	2
navajowhite1	Enam	83
skyblue2	Enc1	64
orangered1	Endod1	97
darkolivegreen	Endog	33
yellow	Endou	4
lightpink2	Endov	114
violet	Eng	32
lightcyan	Engase	16
