query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
11	1	TRUE	0.0189	154	397	19	0.048	0.123	KEGG:05224	keg	66	Breast cancer	1	FGF23,BRAF,IGF1R,DLL1,EGFR,FGF22,ESR2,FOS,POLK,GSK3B,CSNK1A1,NCOA3,EGF,MTOR,DVL1,LRP6,KRAS,PIK3CB,PIK3R1
12	1	TRUE	0.0305	40	397	8	0.02	0.2	KEGG:04960	keg	46	Aldosterone-regulated sodium reabsorption	1	FXYD4,INSR,ATP1B1,KRAS,PIK3CB,ATP1A3,PIK3R1,SFN
13	1	TRUE	0.0378	75	397	11	0.028	0.147	KEGG:05210	keg	56	Colorectal cancer	1	BRAF,MSH3,FOS,POLK,GSK3B,KRAS,PIK3CB,PIK3R1,MAPK10,BCL2,DCC
14	1	TRUE	0.0305	117	397	15	0.038	0.128	KEGG:04919	keg	23	Thyroid hormone signaling pathway	1	TSC2,PLCG1,MED1,GATA4,GSK3B,ATP1B1,NCOA3,MTOR,KRAS,PIK3CB,MYH6,ATP1A3,PIK3R1,MED12L,MED12
15	1	TRUE	0.0443	78	397	11	0.028	0.141	KEGG:05132	keg	6	Salmonella infection	1	FOS,KLC1,KLC2,FLNB,DYNC1I2,CXCL3,WASL,FLNA,NLRC4,MAPK10,DYNC2H1
16	1	TRUE	0.0363	133	397	16	0.04	0.12	KEGG:04140	keg	59	Autophagy - animal	1	TSC2,EIF2AK4,IGF1R,MTMR4,ERN1,DEPTOR,RPTOR,RB1CC1,MAP3K7,MTOR,KRAS,PIK3CB,PIK3R1,ZFYVE1,MAPK10,BCL2
17	1	TRUE	0.0189	95	397	14	0.035	0.147	KEGG:01522	keg	10	Endocrine resistance	1	BRAF,IGF1R,DLL1,MED1,EGFR,ESR2,FOS,NCOA3,MTOR,KRAS,PIK3CB,PIK3R1,MAPK10,BCL2
18	1	TRUE	0.0305	102	397	14	0.035	0.137	KEGG:05231	keg	72	Choline metabolism in cancer	1	TSC2,PLCG1,EGFR,FOS,EGF,MTOR,WASL,KRAS,PIK3CB,DGKI,PIK3R1,MAPK10,SLC22A21,PLA2G4B
19	1	TRUE	0.0189	82	397	13	0.033	0.159	KEGG:01521	keg	58	EGFR tyrosine kinase inhibitor resistance	1	BRAF,IGF1R,PLCG1,EGFR,GSK3B,EGF,MTOR,KRAS,PIK3CB,PIK3R1,BCL2,KDR,EIF4E1B
20	1	TRUE	0.000766	16562	1433	1209	0.844	0.073	TF:M00716_0	tf	25	Factor: ZF5; motif: GSGCGCGR; match class: 0	1	XPO6,BRAT1,RNF17,CLCN4,BTN1A1,CRYBA1,TUBGCP3,OPRM1,SEC24B,ZFP276,MCM3AP,SLC26A3,KLHL10,TNK1,CHORDC1,AP4E1,KMT2A,REC8,BMP8B,BRAF,TSC2,NAB1,PLAG1,BICD1,NFAT5,ZFP81,IKBKG,SPIC,MYO9B,RAB23,SRPK1,NMRK2,EIF2AK4,ZFP287,CRBN,IL5RA,FBXO11,MSH4,IGF1R,INSR,MRVI1,CABP5,PEX1,KCTD20,CTNS,EPS8L1,EPS15L1,UPK1A,RUNX1T1,TTC25,SCRN3,RDH13,CD163,SPATC1L,DQX1,LNP,CBX5,ST6GALNAC1,TEX15,TFCP2,KDSR,VPS4B,METTL16,LMBR1,PDHX,BRMS1L,NANOG,ZFP715,ANKRD28,ANKRD52,PKD2L2,WDFY2,DLL1,MSH3,OC90,GATA5,HSPA8,SERAC1,LCORL,1700016C15RIK,COL20A1,NKAP,PLCG1,TAOK1,TNNC2,CD300LG,MED1,IL12RB2,SEPT8,MTMR4,YPEL2,1700001P01RIK,TRIM37,ZFYVE27,HOXB1,SEMA6A,SYNE4,CCDC170,SEC63,CEP290,APAF1,USP44,TBK1,EGFR,USP15,ACTR2,KCNMB1,FRS2,ZPBP,VPS13D,4930404N11RIK,REL,4930524B15RIK,STC2,ASB3,FGF22,ZFP354B,SGCD,ASCC2,TRIM11,CLHC1,PNPT1,BTNL10,2810021J22RIK,FAM114A2,ATXN7L1,AGR2,SNX13,SLC7A15,ABCA8B,MAP2K6,ADAP2,ERN1,GGA3,RECQL5,GALR2,AANAT,4933427D14RIK,RABEP1,CORO6,SPAG9,FBXL20,GUCY2E,KLHL28,TTC8,ESR2,LRRC9,SNAPC1,TC2N,ATXN3,MLH3,FOS,ZFP839,KLC1,GGPS1,AMPH,MRS2,IRF4,GCM2,NOL8,NSD1,SLC25A48,ZFP729A,MTERF3,SLC28A3,AHRR,CCDC127,SPATA9,TERT,POLK,F2RL1,ZFYVE16,TRIM23,SLC4A7,ATXN7,PTPRG,DDX4,OXSM,DNAH12,ARHGEF3,NISCH,PARG,NEK4,GATA4,ZMYM2,TDH,AMER2,LRRC63,TDRD3,PIBF1,FAM160B2,BMP1,MBNL2,FITM1,RNF19A,PPARA,TTLL8,XPNPEP3,DEPTOR,DMC1,SMC1B,ADAMTS20,CIITA,4930562C15RIK,ATP13A3,LYNX1,ZBTB11,CEP97,BBX,SNAI2,ZBTB20,TBC1D23,TMEM30C,DLG1,SENP5,TOP3B,TFRC,LMLN,MAATS1,GSK3B,CLCN2,KPNA1,ARL13B,IFNAR1,SCAF4,LARP4,SLC11A2,SCN8A,CALCOCO1,SLC10A2,H2-M10.2,LRRC71,ABCC1,LRRC69,P3H3,ZFP605,LNPEP,EFHB,UBR2,NFYA,CMTR1,SPAST,BIRC6,LRPPRC,ABCA3,SLC3A1,TMEM8,LUC7L,NUDT12,ZEB1,ADAD2,MIB1,ZFP871,WDR46,DSC2,CYP21A1,MAP3K2,DCP2,PGGT1B,ANKHD1,AFG3L2,CSNK1A1,NAPG,FBN2,TMX3,TMC1,UHRF2,KLC2,DOC2G,SMARCA2,VLDLR,NOC3L,SORBS1,LCOR,GK,TDRD1,MGEA5,FYCO1,SLC6A20B,HUWE1,FLNB,POLR3A,BANP,CAR5A,UBE3A,PSTPIP2,USP33,CYP2E1,CHM,SLC15A1,TNRC6C,RPTOR,ZFP202,MKLN1,PLK4,MFSD8,CCDC7A,DNAAF5,RB1CC1,SLCO5A1,PIKFYVE,KLF7,KANSL1L,CDK15,IL18RAP,IL18R1,TMEM131,COL9A1,AGFG1,TMEM169,GLB1L,TRIP12,CHRND,EPB41L5,PTPN4,C4BP,KLHL12,XPR1,CDC42BPA,TFB2M,POU2F1,ATP1B1,SCYL3,PTPN14,CR2,LPGAT1,NMT2,FMO4,NSUN6,DNAJC1,GOLGA1,SPOPL,GAD2,GALNT5,COL5A1,GAPVD1,RAB14,LRRC26,TMEM210,MARCH7,PRRG4,TCP11L1,HIPK3,NAT10,SLC12A1,SNAP25,SLX4IP,CDAN1,ZFP106,FSIP1,1700020A23RIK,GZF1,CHMP4C,LRRCC1,HPS3,RALGAPB,ZMAT3,OCSTAMP,NCOA3,SLC2A2,MCCC1,ACAD9,IFT80,KCNAB1,SLC35A3,COL11A1,CYP2U1,EGF,ALPK1,TBCK,DNAJB4,ASH1L,DCLK2,TRP53INP1,MMP16,MAP3K7,RNF20,TEX10,UGCG,PTBP3,ZFP37,MPDZ,FKTN,NFX1,AQP7,IKBKAP,ATP8B5,GBA2,RGP1,NPR2,RECK,BNC2,USP24,2610528J11RIK,ELAVL4,EPS15,PLAA,ORC1,P3H1,MACF1,AGO3,TEKT2,TAS1R1,PER3,MASP2,KLHL7,ANGPTL7,MTOR,RINT1,KMT2E,SLC26A5,MORN1,MIB2,DVL1,ZBTB49,4930548H24RIK,SLC4A1AP,SPATA18,AGBL5,SEPSECS,KLB,CLOCK,PIGG,CDS1,CXCL3,SHROOM3,PPEF2,SDAD1,IFT81,INTS1,IQCD,ANKRD61,WASL,ASB15,GIGYF1,EXOC4,SSPO,TRIM24,KBTBD8,TMF1,NUP210,XPC,ZFP248,KLRA2,LRP6,KRAS,CPNE9,DENND5B,SLC27A5,GIPR,ZFP583,LYPD5,ZFP108,TMC5,SMG1,CYP2R1,PGM2L1,ACER3,BC017158,ABCC6,USP9X,TRIM66,ANO1,CUL4B,GRIPAP1,AFF2,F8,MTCP1,RAB39B,LRCH2,PHKA2,TAF1,FLNA,AVPR2,MECP2,PLXNA3,F10,MYOM2,COL4A2,1700016D06RIK,STAR,WRN,PCM1,CFAP97,LRP2BP,TRIML1,N4BP1,UCP1,SLC12A3,GSE1,TSNAXIP1,HAS3,TMEM231,URB2,SPRTN,ABCG4,DOCK6,RNF111,LCA5,IREB2,TMEM30A,HMG20A,GCLC,FAM83B,ATR,XRN1,PIK3CB,LRRFIP2,DNAJC13,AMIGO3,THSD7A,ATXN2L,SBSPON,CCDC88A,GTF3C1,LOXHD1,ANK2,PKD1,RAG2,STYK1,LRIG2,SLC16A8,MYCBP2,NPAT,CDC14B,LSS,SZT2,RPGRIP1L,TRAPPC8,SPG11,CACUL1,ZBTB1,FAN1,ARMCX1,CYSLTR2,STRC,ASPRV1,PPIP5K1,APOL6,PANK1,PDPR,DDX19B,CEP350,ASB13,TUBGCP5,ATP7A,TMEM87A,D3ERTD254E,CCP110,MGA,ZSWIM5,ZBTB41,DNAH17,TTC37,PDS5B,MYRFL,FARP2,CTNND1,CIPC,ATM,GOLGB1,SLC25A37,SENP6,SETD5,TRAF3IP1,CCDC15,CBL,ZFP418,MORC2A,SSH3,TIPARP,ZYG11A,YTHDC2,4921530L21RIK,SIRT6,NRIP3,ANO8,SIDT2,SYNRG,DOPEY1,C8A,XKR6,DCBLD2,WDR78,CCDC186,HECTD1,AMH,IMPG2,VPS13C,PCSK7,TAB3,TSTD2,CDCP1,FBXL21,ANKRD11,IQCG,RSF1,USP35,LYSMD3,MISP,CDHR3,UBA6,COG5,PRTG,PTPN23,RAB3GAP1,CCDC38,NAA30,AP5M1,GRAMD1C,RMDN2,SEC24A,EXOC1,EEA1,AKAP14,GLTSCR1L,UPF3B,ARHGAP21,TMTC3,DCHS1,SYDE2,OTUD4,ZFP39,FREM2,FER1L6,RALGAPA2,HOOK3,MATR3,4932438A13RIK,MFSD2B,TAF2,4930578C19RIK,SRRT,DMXL1,THOC2,RAPGEF6,ALDH8A1,RGS22,SLC25A43,ZFP60,VPS13B,PHC3,ESYT3,FAM222B,PPP1R16B,DZIP1L,N4BP2,IQCH,PPM1K,NUFIP2,WDR19,BICD2,SLC24A2,ARAP2,CRAMP1L,DNAH10,GCC2,KMT2C,DLEC1,SBNO1,CCDC50,STOX2,TTC39B,CEP44,HRC,BCL9,SEMA7A,SNX25,CD160,MLXIP,ZFP384,FOCAD,JARID2,RANBP9,IFT172,TCTN1,CEP85L,POLR3K,HERC1,DGKI,TRPS1,GOLGA4,PKHD1L1,TTLL6,VARS2,KIF16B,ZCCHC2,MAN2A2,E330034G19RIK,UBE3C,TTC16,FAM173B,RSAD1,NLRC4,CIZ1,GPATCH2,SRRM2,CCDC81,CNTNAP2,MORC3,MICU3,CEP104,MYO9A,ZFP189,DNAJC28,CC2D2A,CEP131,ZFP597,2410089E03RIK,ARHGAP29,HECA,URB1,ZFP292,SAA4,COX15,KLHL42,REP15,ZMYM5,ZFP704,GAS8,PRRC2C,BACH2,PACSIN1,BTNL9,STAC3,ZFP770,FAM102B,UFL1,AKAP9,TIMD2,RC3H1,USP45,BPTF,ADAM22,BTAF1,OFD1,RANBP17,RAD54L2,PHC1,RSC1A1,ZFHX2,ERG,REPS2,INO80D,ATP1A3,ARHGEF1,ARHGEF38,DNAH7B,CHRNB1,MAP6D1,YEATS2,ELOVL6,ZFP236,GTF3C3,RAP1GAP,DICER1,PIK3R1,GK5,SYT15,CEP78,L3MBTL4,SDK2,GUCY1A2,PYROXD1,BIVM,FCHO2,SLCO1A1,BTBD7,PLEKHA6,TPP2,CIR1,PTPRE,SLC16A6,AW549877,DSTYK,NFRKB,SLC35E2,SLC26A9,ITGA1,OSBPL6,GATAD2B,ZMYM6,ZFP532,MIOS,AGO4,USP22,ELMSAN1,UBAP2L,ZFYVE1,SHCBP1L,TTC9,LGR6,KRBA1,TRIM72,GREB1L,NHLRC3,TRPV3,TMEM82,TMEM186,SIMC1,FAM124B,UPF2,FAM129C,RHBDL2,ZBTB37,GIMAP5,SETX,CASC1,COL6A6,1520401A03RIK,DMRTA1,WDFY3,PURA,PCDHB21,CCDC141,FMN1,EML6,HEPACAM2,DNAJC21,ZFP879,UBR3,CXXC4,DSG2,CAMSAP3,GM4922,PRSS42,ERICH5,CYB5D1,ZFP354C,AY074887,RASSF9,TTC41,CCDC73,ZFP691,TRRAP,LRTM1,WHAMM,SLC25A51,ONECUT2,SNX12,BC030336,MCMDC2,9930021J03RIK,ZFP84,IQUB,VPS13A,BC107364,GPAT2,SMCO1,4930430F08RIK,ZFP518B,B3GNTL1,MAPK10,HMGA1,FAT4,CCDC66,ATP10D,FAM187B,SLC26A1,ZBTB21,WDR27,MARS2,ZFP445,DNAJB7,TET1,DYNC2H1,FAM185A,GM527,SFN,METTL21C,ADAMTS12,NXPE5,D930020B18RIK,CCDC144B,ZC3HAV1L,SLC38A9,AKAP10,TNRC6B,CCDC187,ARID4A,KMT2D,ZFP738,CCDC57,FBXL13,RTBDN,KLHL11,CFAP100,PHF3,PREX2,ATXN7L2,ARMCX3,GPR137C,FRMD3,ZFP518A,PURG,ZFP2,TMEM241,AFF4,HTR1B,ADAMTS16,BDP1,LIG4,ZFP672,ARMCX4,RLF,STKLD1,GJA8,RSPRY1,SLC9B1,OLFR690,TMEM220,RICTOR,FAM78A,GPATCH11,ZFP940,PDIK1L,ZFP366,GDPGP1,MBLAC2,ADNP,MSRB3,PCMTD1,ZFP52,PLEKHM3,BBS12,ZFP579,MICAL3,PCDHB2,TTN,OLFR371,PRDM9,SERPINB6C,BHLHA15,DNAH3,LTN1,CCDC171,NAV2,GAN,ASAP2,ATAD2B,SENP7,SUPT7L,DAW1,DSPP,TRMT1L,ZFP952,ADAMTS19,NRD1,SH3PXD2A,AYM1,ZFP14,NDST1,KLK13,ERCC6,GON4L,PRR14L,CEACAM2,SLC30A7,PCNX3,SUGCT,ANKRD17,ZFP101,TMEM245,ANO5,EPM2A,UNC80,ZZEF1,NKAIN3,PER2,GM14137,RGS9BP,SOCS6,DENND1B,USP34,MED12L,1700001K19RIK,FRY,CHD9,HMGA2,ZFP663,SLC35F3,CNTRL,CHD6,5730455P16RIK,AAK1,BCL2,PUS7,ZFP595,MDN1,ZFP846,HIST1H2BG,RRP1B,ZFP420,ZFP708,GFRAL,GCKR,ZFP426,KBTBD2,NHS,ARHGEF12,SYN3,GM7361,ZFP874B,HYDIN,OLFR1393,ADAMTS14,ZFP74,CTF2,MYH13,ZFP462,SNTB1,DCC,MARF1,IPMK,INTU,CRACR2A,HIPK2,BOD1L,HIST1H2AF,ZFP27,ADAM1B,ZFP398,MPPE1,MYSM1,CKS1BRT,ZFP677,ZFP28,KLHL24,KDR,ZFP780B,NAA15,LRRC43,2010109I03RIK,AOX1,SLC22A21,BRWD3,CRB1,GPATCH1,ARL9,GIMAP8,MUC5B,IPO7,MFSD7B,ZBTB6,HMCN1,VMN1R65,UNC93A,ZFP563,ANKRD23,GM5862,WFDC13,ARFGEF1,TNFRSF13C,COL8A1,USF3,GMNC,UTY,COL28A1,SLC25A31,DDX3Y,EIF2S3Y,DYTN,CDK7,HIST1H2BF,RDH16,SCYL2,9930111J21RIK2,TRCG1,QRICH2,XNTRPC,FCRL6,LACTBL1,KLHL9,ACNAT1,ZFP957,ZFP942,3425401B19RIK,TIGIT,SNX29,SMS,GSPT2,PSMB11,GM5460,MANSC4,UGT3A1,ACRBP,NFXL1,GM7173,GM10471,5730507C01RIK,DPCR1,PRR16,GM6086,NBEAL1,PGAP1,RSG1,EXOC8,NTF5,ZFP788,CEACAM1,FOXR1,ZFP872,BGLAP,GCNT7,ARHGAP40,MROH8,MCIDAS,RAD21L,ZFP345,ATXN7L3B,GAS2L3,PDZD7,HPSE2,MAGEB3,EIF4E1B,PTAR1,GREM1,QSER1,PRDM11,GM5464,NRBP2,CYP11B1,OXCT2B,FAM170B,ACTL10,AU041133,CCDC105,KLHL17,PERM1,DDI2,AU022252,TOMT,ZFP59,FAM186B,MON1B,GM14124,GM14025,BC005561,JRKL,TRIM43B,MPHOSPH8,4933413G19RIK,LEMD1,TMPRSS11G,COL4A3,PIGB,UTP14B,MED12,MPP4,RHOX4G,RHOX4D,ZGLP1,GM3448,GM14226,CROCC2,SBK3,PLCXD2,TMEM170B,BCL2L2,RDH1,1700028K03RIK,ZFP882,FBXO24,USP49,PRR22,4933411K16RIK,SAMD15,D6ERTD527E,SYNJ2BP,COL6A5,HIST2H4,AK9,TRIML2,SEC14L5,SIAH3,ACTL9,KHDC3,EIF4E3,GM3264,ZFP955A,GM5108,EDARADD,ZFP799,GFY,HIST4H4,7530416G11RIK,ZFP955B,FOXL1,PLA2G4B,MROH6,HIST1H3D,ZFP383,LDHAL6B,ZBED6,PCDHGA10,PCDHA3,PCDHA1,PCDHGA7,PCDHA8,PCDHA2,GM4869,GM21680,CCDC142,PRPMP5,GM29797,GM35339,GM35060,CFAP99,BTBD8
